sim_orders,sim_aov,sim_revenue
1675.7103762101874,466.28221459090236,781353.9452322404
2129.4282130467564,371.7518568380209,791618.8922034004
1162.7276863435743,480.8343392783417,559079.3988236475
1233.6601766994804,700.752836501862,864490.8681015492
2292.06767896185,390.9168863682916,896007.9604051635
2212.7398207586166,451.81314562579325,999744.9388684045
1063.9408986470858,672.498419231342,715498.5724957386
1639.1279913216827,539.4161231613007,884172.0664439121
1649.5212119810699,357.3893686466173,589521.3445191175
1211.2554862019156,566.2880929713724,685919.5593823952
894.1182972466025,511.0805727969267,456966.4915050064
1418.1223716092554,414.79977943827987,588236.8469600095
2110.0724948996262,495.28683749537294,1045091.1328848073
1758.469483049714,528.1471853236287,928730.7079502029
1672.4824810652292,696.6360167739989,1165111.5337335763
1810.0092541219094,545.6726799771419,987672.60048013
1243.8999079832067,498.1819992373499,619688.5430102295
1168.9390864738973,409.1501099606827,478271.55576813506
1758.068500491326,521.1626398245219,916239.6207083982
2158.4545584781968,433.4029957748162,935480.6718882587
1349.8673775820328,606.4476533838081,818623.9035139786
953.8934843102743,660.8598162028402,630389.8727183747
1679.1445692854104,612.5135149059657,1028498.7421682706
1317.691014894295,616.394725535756,812217.7914667007
1667.7347281345749,624.3353912591713,1041225.8140064074
1403.7417831435403,387.87617264238384,544477.9902239116
1680.966809348432,449.4194036073528,755459.100941127
2025.4180661840621,490.36556513611896,993195.2746612529
1752.1374202845554,488.5267309814339,855965.9661618567
2038.1901441307957,728.4927124455402,1484806.66657761
1346.3303164188253,671.9507141571975,904667.6176091153
1988.5366383970431,717.744063084992,1427260.3664364654
1186.1705576108027,348.8006954829105,413737.11545599974
2020.7129483865604,676.9870448729109,1367996.4874646445
1496.0906177795027,522.4625864662154,781651.373752917
2209.906717740359,602.8480149887962,1332237.8781001812
1710.022730552783,644.7499618396282,1102537.0902688038
1259.2575682529123,586.0911044437086,738039.6589564481
1973.7788925188368,536.8809106841427,1059684.2093046517
1804.826913199238,646.2928662976997,1166446.758902765
1704.245604461864,466.2394418662433,794586.519427298
1939.6218261268964,435.40628247728523,844523.5287257152
1840.6006376196679,633.2974256527453,1165647.6454593374
1768.1322688658393,799.0245983897838,1412781.1760305446
1043.9397885337307,547.4641863011177,571519.6468769797
1924.6343072529517,591.3688761176705,1138168.8272176895
993.570364295934,623.7456178582901,619735.1607634537
1754.2051387035863,441.3854686595317,774280.6572716412
1256.6176267621665,401.5278651303498,504566.9929589795
1043.2228859317752,679.1055734077191,708458.4761427537
1430.9321116683568,470.0165261369088,672561.7402641124
1995.1824696664264,408.36150388618637,814755.7138403374
1522.2124568417628,553.8780579834194,843120.0794336852
1704.809301845524,375.8749189383823,640795.0581365864
1478.8406750569054,440.65978799270823,651665.6183455695
2377.8957738042864,424.12817946095464,1008532.60549151
1511.8071661076362,538.1411904844282,813565.7081520531
724.1993115947564,525.4752140747642,380548.7882930515
1071.4558027632152,443.1567999219714,474822.9248103734
1473.643983844375,594.5921120469087,876217.0887592476
2271.1170248720114,527.0995066260872,1197104.6633001443
629.5823370433396,573.608091938431,361133.5230695682
1371.1184749148802,424.56923613856884,582134.7235500901
1558.4006990428654,569.8172792572334,888003.6463211762
1310.7667086407564,774.0328744177781,1014576.523180335
2257.94732857693,420.73630773369626,950000.4220826206
1815.3068925155444,420.9716056247792,764192.6572439972
1619.3318175044928,513.4363405501856,831423.8025159878
1068.919208678928,715.0752451973106,764357.6652421997
2021.3312167593197,601.805305593117,1216447.8506067495
1951.802446373679,500.7143010430729,977295.3977101565
1617.1879202071589,506.1631358727396,818560.9089875693
1838.320802835708,439.5146237478627,807968.8759862051
1947.9817217038392,504.7348846452377,983214.3295952188
1327.9429603018953,765.1448988343085,1016068.7820179258
1672.9418158840476,452.91270765231997,757696.607576833
1014.0564659665288,795.4768627146025,806658.4561625114
1452.334507547551,497.63703751908986,722735.4418227095
692.2245211601771,597.6375798163292,413699.38751568564
1368.919529121174,414.5717160973084,567515.3183868845
2338.744654214492,578.0810645422855,1351983.999400893
928.9250170544495,451.2679073228501,419194.04850600427
1750.0750536752973,533.5281074104879,933714.2312136894
1276.743210782583,712.5858496965723,909789.1456998368
1122.8106219172723,484.6563057288136,544177.2480514969
1128.5313754697336,487.31064516857595,549945.3526731363
1169.4983610587494,469.72694663607916,549344.8942360253
1290.499035497959,375.67503281895085,484808.2675135202
1668.3112382017277,519.1843676522532,866161.1152529116
1185.6131449183654,430.955072127533,510945.9983836454
1230.1071303000963,336.12642838102727,413471.51623380627
1181.6447540635004,588.1840053447532,695024.5443396856
1443.568835077744,615.169098910315,888038.939489789
1994.9463667344592,597.51926556269,1192018.8878881307
1382.0073129043685,356.73613045231673,493011.9410623085
1406.0547113636972,597.9570899630329,840760.3835358485
1016.5828374557567,534.0180023479669,542873.5360793511
1431.5473560798685,540.7276470598689,774077.2335078436
1303.1781647911985,376.35641465072825,490459.46175193135
1627.2194010198166,552.0203834593194,898258.2777234032
2218.601601783415,494.02867503040795,1096052.8097494012
1353.1639560111198,573.2645363156776,775720.9078018025
1796.357465742595,477.9784048667805,858620.0760461779
1523.7127466000752,394.7691988305465,601514.8602232032
1395.972686208633,572.2295523633702,798816.8253406575
1264.1547562772241,623.1430408998746,787749.2389946292
1720.7688087345095,595.6946771980869,1025052.8200516402
1608.6232352494264,536.829515499166,863556.4319996504
